vendor_name,partner_detail_id,thea_id,po_fill_rate_qty_level,po_fill_rate_ucode_level,on_time_delivery_rate,median_lead_time,perfect_order_rate,expired_near_expiry_items_received,damaged_items_received,pr_count
KAILASH PHARMA,186,th214,70.44,81.82,82.61,2.00,26.81,0.00,0.00,148.00
SHREE SIMBA CHEMIST - MUMBAI (AWSPL),3566,th214,70.40,76.33,81.64,5.80,34.32,54.00,0.00,1050.00
LOREAL INDIA PRIVATE LIMITED,32689,th214,70.37,77.78,100.00,1.00,33.33,0.00,0.00,0.00
EASTERN AGENCIES HEALTHCARE PRIVATE LIMITED,61,th214,70.11,80.90,85.38,5.80,27.45,21.00,0.00,319.00
GREEN CROSS PHARMA,32314,th214,69.99,82.89,88.92,2.90,34.55,0.00,0.00,12.00
ABBOTT INDIA LIMITED,2053,th214,69.71,76.92,96.72,4.00,13.04,0.00,0.00,16.00
ZYDUS LIFESCIENCES LIMITED,29877,th214,69.35,81.82,94.12,3.00,52.94,0.00,0.00,0.00
ZYDUS HEALTHCARE LIMITED,29788,th214,68.85,81.18,60.85,8.00,28.00,0.00,0.00,20.00
D.V. MARKETING,68,th214,68.31,62.86,71.22,2.70,11.11,0.00,0.00,23.00
PARAS MEDICAL AGENCY PRIVATE LIMITED,7690,th214,67.54,82.39,49.18,3.00,25.00,7.00,0.00,80.00
MERCK SPECIALITIES PRIVATE LIMITED,2591,th214,67.20,100.00,87.32,7.10,55.56,0.00,0.00,0.00
VIVI LIFE CARE,4905,th214,66.57,81.36,52.91,3.00,13.48,9.00,0.00,45.00
HANS ASSOCIATES,30502,th214,66.21,65.63,92.39,6.00,15.38,0.00,0.00,2.00
DAFLEXI HEALTHCARE PRIVATE LIMITED (AGRA),8583,th214,64.64,60.87,57.14,5.00,33.33,0.00,0.00,0.00
DESAI PHARMA(A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PVT LTD),32262,th214,64.62,81.66,71.27,4.00,33.33,0.00,0.00,296.00
AKNA MEDICAL PRIVATE LIMITED,37513,th214,63.92,72.04,100.00,1.00,0.00,0.00,0.00,0.00
USV Private Limited,1752,th214,63.69,96.60,53.85,2.00,23.08,0.00,0.00,7.00
KAASHVI ENTERPRISES,29481,th214,63.43,100.00,100.00,5.00,53.85,0.00,0.00,0.00
NEEL DISTRIBUTORS,1516,th214,62.62,80.69,47.96,3.80,30.00,16.00,0.00,8.00
UNIVERSAL NUTRISCIENCE PRIVATE LIMITED,29789,th214,62.32,76.67,55.93,2.00,20.00,0.00,0.00,0.00
Oddity Healthcare Private Limited,30248,th214,62.20,100.00,88.89,1.00,27.27,0.00,0.00,0.00
Himalaya Wellness Company,13981,th214,61.77,69.44,100.00,4.40,16.67,0.00,0.00,2.00
B.A & BROTHERS PHARMA LLP,72,th214,61.16,76.84,75.68,3.00,27.78,0.00,0.00,3.00
SHREE ASHTA VINAYAK ENTERPRISES,8324,th214,60.81,62.50,0.00,11.00,0.00,0.00,0.00,1.00
CARE PHARMA,6455,th214,60.55,62.50,100.00,8.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,37485,th214,60.53,71.43,100.00,1.00,0.00,2.00,0.00,2.00
SAMARTH LIFE SCIENCES PRIVATE LIMITED,6042,th214,60.18,100.00,97.67,6.00,45.45,0.00,0.00,0.00
Bantom Laboratories Private Limited,30360,th214,60.11,75.00,71.21,7.00,0.00,40.00,0.00,0.00
JALARAM DISTRIBUTORS,1758,th214,59.77,71.83,0.00,11.00,0.00,0.00,0.00,5.00
VIJAY LIFE CARE,5,th214,59.73,50.88,51.41,3.00,24.16,0.00,0.00,20.00
Avighna Medicare Private Limited,9250,th214,59.32,38.57,100.00,0.00,0.00,0.00,0.00,1.00
KRISHNAM MEDICAL AGENCY,1525,th214,58.83,66.55,53.03,3.00,14.81,0.00,0.00,68.00
SKITES PHARMA PRIVATE LIMITED (Bhiwandi),7700,th214,58.56,68.40,67.86,3.70,19.90,0.00,0.00,53.00
HEEV PHARMA LLP,29843,th214,57.23,50.17,97.44,6.00,12.50,0.00,0.00,15.00
MANKIND PHARMA LIMITED (PUNE),13644,th214,56.79,67.69,61.72,6.00,21.74,0.00,0.00,37.00
PLUS PHARMA DRUG DISTRIBUTORS,12178,th214,56.36,75.00,67.44,5.00,7.69,0.00,0.00,0.00
BEIERSDORF INDIA PRIVATE LIMITED,2061,th214,56.25,73.08,70.27,8.00,12.50,0.00,0.00,2.00
Bhagavati Marketing Corporation,3004,th214,55.81,100.00,100.00,5.00,28.57,0.00,0.00,1.00
SAU PHARMA PVT LTD,24,th214,54.76,77.81,88.57,2.00,23.17,0.00,0.00,9.00
Meyer Organics Private Limited,2855,th214,53.07,75.71,44.86,6.80,16.67,0.00,0.00,6.00
MUTHU PHARMA- A UNIT OF ASCENT WELLNESS AND PHARMA ,31881,th214,52.77,100.00,100.00,0.00,50.00,0.00,0.00,0.00
SHREE PIONEER PHARMA,36,th214,52.34,72.14,81.90,3.00,18.00,2.00,0.00,74.00
GOOD CARE PHARMA (P) LTD.,37220,th214,52.28,100.00,100.00,2.00,42.86,0.00,0.00,0.00
I M HEALTHCARE PRIVATE LIMITED,3444,th214,51.92,100.00,100.00,0.00,50.00,0.00,0.00,0.00
Riaan Wellness Private Limited,6994,th214,51.61,66.67,100.00,8.00,0.00,0.00,0.00,0.00
Jay Plast,2237,th214,51.61,100.00,100.00,0.00,50.00,0.00,0.00,0.00
TIMES PHARMA,5547,th214,51.40,63.01,23.14,5.00,7.22,0.00,0.00,16.00
M J Corporation,2734,th214,51.30,50.00,72.73,6.00,0.00,0.00,0.00,1.00
OPTIMA MEDITECH PRIVATE LIMITED,100359,th214,50.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00
 MERHAKI FOODS AND NUTRITION PRIVATE LIMITED,91890,th214,50.00,100.00,100.00,0.00,50.00,0.00,0.00,0.00
Bliss Lifesciences LLP,2462,th214,50.00,50.00,100.00,20.00,50.00,0.00,0.00,0.00
ATIS HEALTHCARE,32748,th214,49.93,57.62,76.42,3.00,6.85,12.00,0.00,162.00
MIHIR ENTERPRISES,168,th214,49.84,63.37,87.91,2.00,11.84,0.00,0.00,26.00
Piramal Pharma Limited,29814,th214,49.82,85.19,92.35,5.00,23.53,6.00,0.00,6.00
BRINTON PHARMACEUTICALS LTD.,7675,th214,48.57,75.00,100.00,0.00,33.33,0.00,0.00,0.00
TYNOR ORTHOTICS PRIVATE LIMITED,28967,th214,48.13,78.95,100.00,4.70,20.00,0.00,0.00,2.00
IPCA LABORATORIES LTD,32490,th214,48.09,88.28,83.07,1.00,23.81,0.00,0.00,7.00
Jeevan Rekha Distributors,8302,th214,48.02,68.22,76.28,3.00,24.00,0.00,0.00,67.00
Neutrawell Healthcare Private Limited,2664,th214,45.63,80.00,100.00,1.00,37.50,0.00,0.00,0.00
RENE PHARMACEUTICALS PVT LTD,2350,th214,45.56,66.67,100.00,1.00,27.27,0.00,0.00,0.00
NIRMAL INTERNATIONAL,30186,th214,45.10,73.47,86.17,1.00,29.63,0.00,0.00,8.00
 GEETA LABORATORIES PVT LTD / MODERN TRADE SOLUTIONS DIV GEETA LAB P L,37910,th214,45.06,76.47,84.00,8.00,7.14,0.00,0.00,1.00
Kohinoor Products,2999,th214,44.44,100.00,100.00,6.00,40.00,0.00,0.00,0.00
VJ Surgicals,37507,th214,44.01,66.67,25.00,40.00,25.00,0.00,0.00,0.00
NAMAN PHARMA,29106,th214,43.99,60.54,31.23,4.00,10.00,0.00,0.00,24.00
Tulip Labs Private Limited,5690,th214,43.98,71.43,100.00,1.00,46.15,0.00,0.00,0.00
MEDLINE DISTRIBUTORS,2030,th214,43.92,41.67,100.00,7.00,0.00,0.00,0.00,0.00
EMAMI LIMITED,2165,th214,43.03,37.50,96.97,6.00,0.00,0.00,0.00,1.00
MOKSH PHARMA,30116,th214,42.95,55.96,37.05,4.00,7.79,21.00,0.00,93.00
Sangita Enterprise,13978,th214,42.43,62.50,75.94,5.50,4.76,0.00,0.00,2.00
Shivam Pharmaceuticals,2584,th214,41.80,35.00,87.04,3.00,19.05,0.00,0.00,2.00
MACLEODS PHARMACEUTICALS LIMITED,2630,th214,41.50,84.02,97.65,1.00,30.30,0.00,0.00,6.00
MAHAKALI AGENCY,88097,th214,41.37,58.23,41.27,5.00,19.05,0.00,0.00,7.00
BACFO PHARMACEUTICALS INDIA LTD,2215,th214,40.99,66.67,71.43,12.00,20.00,0.00,0.00,0.00
 GIBSON HEALTHCARE PRIVATE LIMITED,37329,th214,40.00,100.00,100.00,7.00,40.00,0.00,0.00,0.00
MULTANI PHARMACEUTICALS LIMITED,30620,th214,39.02,100.00,100.00,3.00,40.00,0.00,0.00,0.00
SWARAJ PHARMACEUTICALS,11393,th214,38.13,77.60,83.87,2.00,19.39,0.00,0.00,9.00
KALOR TRADING COMPANY,31411,th214,37.60,30.77,84.62,4.30,21.05,0.00,0.00,1.00
TEXAS CORPORATION,3632,th214,36.88,38.76,73.02,7.00,11.32,18.00,0.00,10.00
Zydus Wellness Products Limited,2118,th214,36.81,50.00,89.39,6.00,0.00,0.00,0.00,4.00
WELLNESS INDIA,37850,th214,35.97,73.08,90.00,1.00,25.00,0.00,0.00,1.00
MERIDIAN ENTERPRISES PVT. LTD.,2050,th214,35.82,80.00,0.00,10.00,0.00,0.00,0.00,0.00
Hasmukh Agency,3589,th214,35.06,47.22,62.14,4.00,10.71,0.00,0.00,3.00
CG MARKETING PRIVATE LIMITED,31669,th214,35.05,58.97,89.39,3.00,0.00,0.00,0.00,0.00
Deergh Ayurveda,12348,th214,34.55,63.64,75.00,1.50,30.00,0.00,0.00,0.00
S.PARIKH PHARMA PVT. LTD,31,th214,33.66,65.23,50.57,4.00,13.29,7.00,0.00,194.00
The Unati Co Operative Marketing Cum,2769,th214,33.51,100.00,100.00,0.00,33.33,0.00,0.00,0.00
INDIAN DRUG DISTRIBUTORS PVT. LTD.,100,th214,32.96,54.05,55.24,3.00,19.35,11.00,0.00,65.00
MEHER LIFECARE PRIVATE LIMITED,31911,th214,31.82,85.85,71.36,3.00,18.09,400.00,0.00,839.00
Sanofi India Limited,59970,th214,31.28,47.50,100.00,6.00,5.56,0.00,0.00,4.00
CUREMED PHARMA,69,th214,30.98,34.44,65.83,3.00,10.99,3.00,0.00,15.00
CIPLA PHARMA AND LIFE SCIENCES LIMITED,90849,th214,30.39,41.30,100.00,0.00,0.00,0.00,0.00,0.00
Ascensia Diabetes Care India Private Limited,30463,th214,29.03,40.00,100.00,8.00,18.18,0.00,0.00,0.00
NOBEL HYGIENE PRIVATE LIMITED,37326,th214,27.37,66.67,80.00,7.00,14.29,0.00,0.00,8.00
AMRUTANJAN HEALTH CARE LIMITED,2331,th214,26.10,81.82,96.97,4.50,8.33,0.00,0.00,1.00
Abhishek Enterprises,5552,th214,25.63,51.61,100.00,8.00,0.00,0.00,0.00,2.00
ROYAL DISTRIBUTORS,37231,th214,25.46,55.90,52.49,3.00,9.40,18.00,0.00,19.00
SERVIER INDIA PRIVATE LIMITED,13764,th214,23.51,75.00,97.06,2.00,40.00,0.00,0.00,1.00
UNNATI MOTORS ( A DIVISION OF MICROPARK LOGISTICS PVT LTD),107283,th214,23.40,70.37,100.00,0.00,0.00,0.00,0.00,1.00
MAHAVEER MEDI SALES PVT LTD,1355,th214,22.26,59.26,0.00,1.00,0.00,0.00,0.00,1.00
PHARMA ASIA DISTRIBUTORS,1773,th214,20.99,25.44,74.49,3.00,8.70,0.00,0.00,20.00
ALNICHE LIFESCIENCES PRIVATE LIMITED,9295,th214,18.87,66.67,100.00,0.00,0.00,0.00,0.00,0.00
KNOLL HEALTHCARE PRIVATE LIMITED,6437,th214,16.94,62.12,100.00,1.00,25.00,0.00,0.00,0.00
M/S HARSORIA HERBAL CARE,5363,th214,16.68,40.00,100.00,1.00,11.11,0.00,0.00,0.00
UNISTAR FOOTWEARS PRIVATE LIMITED,8246,th214,15.73,81.82,100.00,1.00,28.57,0.00,0.00,0.00
Matrix Healthcare,11051,th214,14.16,60.00,100.00,4.00,12.50,0.00,0.00,0.00
MSN LABORATORIES PRIVATE LIMITED,7667,th214,11.96,33.33,100.00,1.00,0.00,0.00,0.00,3.00
RAPTAKOS BRETT & CO. LTD.,8187,th214,10.88,26.67,100.00,1.00,0.00,0.00,0.00,0.00
Avighna Medicare Private Limited,82453,th214,10.17,8.33,100.00,0.00,33.33,0.00,0.00,0.00
SHREE BAIDYANATH AYURVED BHAWAN PRIVATE LIMITED,2131,th214,9.59,9.09,50.00,8.00,0.00,0.00,0.00,0.00
BAYER ZYDUS PHARMA PVT. LTD,2066,th214,6.74,41.67,63.64,1.00,5.26,0.00,0.00,0.00
WIN MEDICARE PRIVATE LIMITED,2368,th214,5.56,27.27,100.00,5.00,13.33,0.00,0.00,1.00
AKNA MEDICAL PRIVATE LIMITED (RANCHI),37001,th214,4.35,20.00,100.00,0.00,0.00,0.00,0.00,1.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LIMITED,108786,th214,4.05,33.33,100.00,0.00,0.00,0.00,0.00,1.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LIMITED (AR-AMD),37641,th214,3.19,10.53,100.00,0.00,0.00,0.00,0.00,1.00
Mahadev Agencies,2578,th214,2.66,8.16,100.00,0.00,0.00,0.00,0.00,0.00
KUSUM MARKETING,2297,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOYE PHARMACEUTICALS PRIVATE LIMITED,6826,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZIL PHARMA,1,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A.K.PHARMA,4039,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BIOCON BIOLOGICS INDIA LIMITED ,2588,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yogi Enterprises,2700,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PHOENIX PHARMA,41995,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,7506,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BANGA INDUSTRIES,32349,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HAJRA MEDICAL AGENCY PVT.LTD.,280,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED - GURGAON,39518,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AJANTA PHARMA LIMITED,14060,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MARICO LIMITED,2209,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HEALLTH WELL PHARMACY,31314,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STERLING PHARMACEUTICAL DISTRIBUTORS,9,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ANKIT MEDISALES ,4457,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SEPTALYST LIFESCIENCES PVT. LTD,7642,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ANANDA MEDICAL HALL,30595,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,30001,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
GIRNAR PHARMACEUTICALS,38178,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PARSHVA PHARMA,11052,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LIMITED,108756,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ROSEATE MEDICARE,37813,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ROYAL DISTRIBUTORS,1769,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED-JALPAIGURI,37556,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
TORRENT PHARMACEUTICALS LIMITED,32474,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SR PHARMACEUTICALS,10,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VIPUL CHEMIST,26106,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHINE PHARMACEUTICALS LIMTED,3403,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SAFE HEALTH ENTERPRISES,1759,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RATTAN ORGANIC FOODS PRIVATE LIMITED,86966,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Parekh Integrated Services Private Limited,3613,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OMNI CHEMICALS,7762,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ITC Limited,14212,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GLOBAL E RETAILERS,198,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MERHAKI FOODS AND NUTRITION PRIVATE LIMITED,82153,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KHIMASIA DRUG AND SURGICAL HOUSE,2804,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAHAVEER MEDICARE,2737,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAHAVIR MARKETING,2478,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KRISHNAM MEDICAL AGENCY (RAIPUR),11884,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ORDAIN HEALTH CARE GLOBAL PRIVATE LIMITED,38229,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PCI ANALYTICS PVT LTD,37321,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JAGSONPAL PHARMACEUTICALS LIMITED,8641,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHAH & SAVLA,23,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00
PURE AND CURE HEALTH CARE PRIVATE LIMITED,3864,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHIVI MEDICOSE,47573,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SREE GAYATHRI MEDICAL AND GENERAL STORES,30859,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Target Pharma,80,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NURECA LIMITED,2352,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BUBUN MEDICINE STORE,30598,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MODI MUNDI PHARMA PVT LTD,8244,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WALLACE PHARMACEUTICALS PVT LTD,6027,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MICROPARK LOGISTICS PVT.LTD,3546,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Afferent Wearable Tech Private Limited,2971,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PHARMA INDIA NX,12193,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PARAS ECOMED,1512,th214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZUVENTUS HEALTHCARE LIMITED,60540,th214,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
GOPAL LIFE SCIENCE UNIT II,31274,th401,100.00,90.00,100.00,1.00,60.00,0.00,0.00,11.00
VPI MEDISALES - A UNIT OF ASCENT  WELLNESS AND PHARMA  SOLUTIONS PRIVATE LIMITED,31971,th401,100.00,100.00,100.00,2.00,100.00,0.00,0.00,0.00
SACHDEVA MEDICAL-BAREILLY (AWSPL),32197,th401,100.00,100.00,100.00,1.00,100.00,0.00,0.00,1.00
EKDANTA PHARMATECH (U/O AHWSPL) (MR-SLI),30112,th401,100.00,100.00,100.00,0.00,100.00,0.00,0.00,2.00
OSWAL ENTERPRISES,31261,th401,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00
AAYUSH PHARMA (A UNIT OF AWPSPL)-ASSAM,13714,th401,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00
BALAJI PHARMATECH - (U/O AWPSPL) (MR-VTZ-GAJ),37879,th401,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00
S.S DISTRIBUTORS,58066,th401,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00
ASPIRE PHARMA- JAMMU (AWSPL),31301,th401,100.00,100.00,100.00,0.00,100.00,0.00,0.00,1.00
A.K.PHARMA,4039,th401,100.00,100.00,100.00,0.00,100.00,0.00,0.00,2.00
ARLYN BIOTECH,32612,th401,100.00,100.00,100.00,0.00,100.00,0.00,0.00,9.00
C.L. TRADERS,31351,th401,100.00,56.10,88.24,3.00,14.29,0.00,0.00,25.00
M/S NOVARTIS HEALTHCARE PRIVATE LIMITED,37833,th401,100.00,80.00,100.00,1.00,40.00,0.00,0.00,0.00
ASHIRWAD DISTRIBUTORS (A UNIT OF AWPSPL) (MR-NAG-AMR),37894,th401,100.00,100.00,100.00,3.00,100.00,0.00,0.00,0.00
TABLETS ( INDIA) LIMITED,31231,th401,100.00,68.18,89.47,2.00,55.56,0.00,0.00,102.00
DESAI PHARMA(A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PVT LTD),87052,th401,100.00,100.00,100.00,1.00,100.00,0.00,0.00,0.00
ENCUBE ETHICALS PRIVATE LIMITED,37941,th401,100.00,100.00,100.00,1.00,100.00,0.00,0.00,0.00
TRIVENI PHARMACTICALS DISTRIBUTOR,31307,th401,100.00,100.00,50.00,2.00,50.00,0.00,0.00,5.00
GENNOVA BIOPHARMACEUTICALS LTD,31209,th401,100.00,100.00,100.00,2.00,100.00,0.00,0.00,5.00
RPG LIFE SCIENCES LIMITED,31230,th401,100.00,89.29,82.22,3.00,64.29,0.00,0.00,68.00
WE CARE PHARMA INC,32126,th401,100.00,48.72,100.00,2.70,28.57,0.00,0.00,151.00
BAYER ZYDUS PHARMA PVT LTD,2183,th401,100.00,90.00,94.44,1.80,77.78,0.00,0.00,31.00
VENKATESH MEDICO PRIVATE LIMITED,30496,th401,99.50,100.00,100.00,2.00,100.00,0.00,0.00,1.00
AAYUSH PHARMA (U/O AWPSPL) (MR-GUW-LOK),37884,th401,99.38,100.00,100.00,0.00,100.00,0.00,0.00,0.00
EKDANTA PHARMATECH (A UNIT OF A. W. P. S. PVT. LTD.),30095,th401,99.33,100.00,100.00,1.00,100.00,0.00,0.00,14.00
D. C. AGENCIES PRIVATE LIMITED,28791,th401,98.53,90.74,100.00,1.00,87.50,0.00,0.00,30.00
ASHIRWAD DISTRIBUTORS(A UNIT OF ASCENT WELLNESS) AMRAVATI,13701,th401,98.44,100.00,100.00,0.00,100.00,0.00,0.00,0.00
ASTRAZENECA PHARMA INDIA LIMITED,1941,th401,97.90,76.92,96.97,1.00,41.67,0.00,0.00,0.00
SRI ALAGU PHARMA(A UNIT OF AWPSPL)COIMBATORE,30864,th401,97.63,91.67,100.00,1.00,88.89,0.00,0.00,1.00
SACHDEVA MEDICALS (U/O AHWSPL) (Prayagraj),30096,th401,97.42,91.67,100.00,1.00,100.00,0.00,0.00,22.00
E.C. Agencies - A unit of Ascent Wellness and Pharma Solutions Private Limited,29157,th401,96.77,92.31,100.00,0.00,80.00,0.00,0.00,35.00
ARISTO PHARMACEUTICALS (P) LTD. ZKPUR,32245,th401,96.08,88.89,100.00,3.00,58.33,0.00,0.00,60.00
EASTERN AGENCIES HEALTHCARE PRIVATE LIMITED,61,th401,92.86,75.00,100.00,1.00,60.00,0.00,0.00,24.00
D C AGENCIES PRIVATE LIMITED,1989,th401,91.76,86.12,100.00,2.00,69.70,0.00,0.00,676.00
VARMA MEDICALS (PUDUCHERRY),30682,th401,91.65,81.82,100.00,1.00,66.67,0.00,0.00,1.00
PFIZER LIMITED,37557,th401,89.86,71.11,90.91,2.00,45.45,0.00,0.00,1.00
BHARAT ASSOCIATES,31237,th401,89.36,75.00,100.00,1.00,66.67,0.00,0.00,0.00
BLUE CROSS LABORATORIES PRIVATE LIMITED,31283,th401,88.38,79.63,94.31,2.00,20.00,0.00,0.00,52.00
RAJ MEDICALS,32722,th401,87.23,100.00,100.00,2.00,75.00,0.00,0.00,0.00
ASHIRWAD DISTRIBUTORS (A UNIT OF AWPSPL),9983,th401,87.21,70.91,72.41,1.00,33.33,0.00,0.00,24.00
ZUVENTUS HEALTHCARE LTD,31210,th401,86.23,91.67,100.00,2.00,55.56,0.00,0.00,76.00
Avighna Medicare Private Limited,9250,th401,86.08,84.38,100.00,1.00,38.46,0.00,0.00,21.00
BOEHRINGER INGELHEIM INDIA PRIVATE LIMITED,30192,th401,85.98,100.00,72.73,4.00,42.86,0.00,0.00,54.00
AVIGHNA MEDICARE PRIVATE LIMITED,32663,th401,85.21,85.52,100.00,1.00,45.83,0.00,0.00,30.00
USV PRIVATE LIMITED,31264,th401,84.91,77.78,89.80,2.00,19.05,0.00,0.00,525.00
MEDIKING,31290,th401,83.37,80.00,100.00,1.00,66.67,0.00,0.00,15.00
ERIS THERAPEUTICS LIMITED,32766,th401,83.13,80.49,100.00,2.00,73.91,0.00,0.00,4.00
EMCURE PHARMACEUTICALS LTD,31313,th401,82.01,74.49,100.00,2.00,45.71,0.00,0.00,279.00
S.S. INTERNATIONAL,32628,th401,81.63,34.00,89.74,2.00,50.00,0.00,0.00,44.00
ARYAN Wellness (P) Ltd.,1144,th401,80.68,87.41,100.00,1.00,66.20,0.00,0.00,1806.00
MODI MUNDI PHARMA PRIVATE LIMITED,31356,th401,78.15,91.67,100.00,2.50,75.00,0.00,0.00,28.00
WOCKHARDT LIMIITED[HARYANA],31276,th401,77.81,71.43,100.00,1.00,20.00,0.00,0.00,29.00
DEY`S MEDICAL STORES (MFG) LTD.,31212,th401,77.05,100.00,85.71,2.00,62.50,0.00,0.00,21.00
NARANG MEDICAL HALL,31252,th401,76.95,75.00,85.71,2.00,33.33,0.00,0.00,4.00
HOLLY DRUGS PVT LTD,31244,th401,74.55,50.00,100.00,0.00,50.00,0.00,0.00,2.00
INTAS PHARMACEUTICALS LTD.,31206,th401,74.15,86.90,91.00,2.00,58.62,0.00,0.00,864.00
PHARMA LOGISTICS PANCHKULA,32684,th401,73.51,74.88,73.91,3.00,28.57,0.00,0.00,426.00
TRUMED PHARMA,37331,th401,72.08,84.62,70.37,1.00,66.67,0.00,0.00,4.00
ERIS LIFESCIENCES LIMITED,31260,th401,70.18,53.33,100.00,1.10,18.18,0.00,0.00,316.00
D. C. AGENCIES PRIVATE LIMITED (Vaccine),37555,th401,69.77,68.42,100.00,0.00,0.00,0.00,0.00,1.00
MEDSOL INDIA OVERSEAS PVT.LTD.,31228,th401,69.55,66.67,82.35,3.00,25.00,0.00,0.00,64.00
SUN PHARMA DISTRIBUTORS LIMITED,31211,th401,68.80,79.02,100.00,2.00,66.67,0.00,0.00,1579.00
Avighna Medicare Private Limited,82453,th401,67.76,64.52,100.00,1.00,70.73,0.00,0.00,112.00
MUTHU PHARMA- A UNIT OF ASCENT WELLNESS AND PHARMA ,31881,th401,67.47,92.59,100.00,2.00,71.43,0.00,0.00,8.00
ZYDUS HEALTHCARE LIMITED,30369,th401,67.43,61.09,99.40,3.00,24.00,0.00,0.00,197.00
HIMALAYA WELLNESS COMPANY,31278,th401,66.83,59.60,62.37,2.00,40.00,0.00,0.00,188.00
